Mapping Rule ID,QBC Tag,QBC 中文名稱,Source specification,Source SHA-256,Source condition,Source cardinality,Source datatype,Current bridge input,Target source evidence,Canonical fact,Projection role,Target Resource,Target Element,Target datatype,Target cardinality,Target profile canonical,Target profile version,Semantic alignment canonical,Semantic alignment version,Terminology/ConceptMap,Map relationship,Transform rule,Null handling,Repeat handling,Information-loss policy,Round-trip policy,Technical status,Approval gates,Release status
QBC-MAP-D014,D014,(新輔助) ER,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,code,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,pathology/laboratory DiagnosticReport + Observation + Specimen,pathology finding / tumor marker / specimen-linked observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueCodeableConcept,CodeableConcept,0..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-data-item-observation,1.0.0-preview.1,http://hl7.org/fhir/us/mcode/StructureDefinition/mcode-tumor-marker-test,4.0.0,LOINC 85329-1 + UCUM %; qualitative and percentage values remain separate QBC observations,related-to,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,FHIR-MCODE-SCOPE,ready-for-human-review
QBC-MAP-D015,D015,(新輔助) ER 數值,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,integer,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,pathology/laboratory DiagnosticReport + Observation + Specimen,pathology finding / tumor marker / specimen-linked observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueQuantity,Quantity,0..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-quantity-data-item-observation,1.0.0-preview.1,http://hl7.org/fhir/us/mcode/StructureDefinition/mcode-tumor-marker-test,4.0.0,LOINC 85329-1 + UCUM %; qualitative and percentage values remain separate QBC observations,related-to,parse decimal; set UCUM system and code '%',reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,FHIR-MCODE-SCOPE,ready-for-human-review
QBC-MAP-D016,D016,(新輔助) PR,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,code,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,pathology/laboratory DiagnosticReport + Observation + Specimen,pathology finding / tumor marker / specimen-linked observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueCodeableConcept,CodeableConcept,0..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-data-item-observation,1.0.0-preview.1,http://hl7.org/fhir/us/mcode/StructureDefinition/mcode-tumor-marker-test,4.0.0,LOINC 85339-0 (presence); 85325-9 (%); assay=immune stain; preserve original QBC value,related-to,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,TERM-PR; FHIR-MCODE-SCOPE,ready-for-human-review
QBC-MAP-D017,D017,(新輔助) PR 數值,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,integer,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,pathology/laboratory DiagnosticReport + Observation + Specimen,pathology finding / tumor marker / specimen-linked observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueQuantity,Quantity,0..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-quantity-data-item-observation,1.0.0-preview.1,http://hl7.org/fhir/us/mcode/StructureDefinition/mcode-tumor-marker-test,4.0.0,LOINC 85339-0 (presence); 85325-9 (%); assay=immune stain; preserve original QBC value,related-to,parse decimal; set UCUM system and code '%',reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,TERM-PR; FHIR-MCODE-SCOPE,ready-for-human-review
QBC-MAP-D018,D018,(新輔助) HER2,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,code,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,pathology/laboratory DiagnosticReport + Observation + Specimen,pathology finding / tumor marker / specimen-linked observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueCodeableConcept,CodeableConcept,0..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-data-item-observation,1.0.0-preview.1,http://hl7.org/fhir/us/mcode/StructureDefinition/mcode-tumor-marker-test,4.0.0,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,FHIR-MCODE-SCOPE,ready-for-human-review
QBC-MAP-D019,D019,(新輔助) HER2 FISH,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,code,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,pathology/laboratory DiagnosticReport + Observation + Specimen,pathology finding / tumor marker / specimen-linked observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueCodeableConcept,CodeableConcept,0..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-data-item-observation,1.0.0-preview.1,http://hl7.org/fhir/us/mcode/StructureDefinition/mcode-tumor-marker-test,4.0.0,LOINC 85318-4 (breast specimen FISH); 31150-6 fallback; use 85318-4 only when breast specimen and FISH are confirmed,related-to,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,TERM-HER2-FISH; FHIR-MCODE-SCOPE,ready-for-human-review
QBC-MAP-D020,D020,(新輔助) Ki-67,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,code,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,pathology/laboratory DiagnosticReport + Observation + Specimen,pathology finding / tumor marker / specimen-linked observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueCodeableConcept,CodeableConcept,0..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-data-item-observation,1.0.0-preview.1,http://hl7.org/fhir/us/mcode/StructureDefinition/mcode-tumor-marker-test,4.0.0,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,FHIR-MCODE-SCOPE,ready-for-human-review
QBC-MAP-D021,D021,(新輔助) Ki-67 數值,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,integer,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,pathology/laboratory DiagnosticReport + Observation + Specimen,pathology finding / tumor marker / specimen-linked observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueQuantity,Quantity,0..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-quantity-data-item-observation,1.0.0-preview.1,http://hl7.org/fhir/us/mcode/StructureDefinition/mcode-tumor-marker-test,4.0.0,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,parse decimal; set UCUM system and code '%',reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,FHIR-MCODE-SCOPE,ready-for-human-review
QBC-MAP-D022,D022,(新輔助) BRCA 1/2,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,code,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,pathology/laboratory DiagnosticReport + Observation + Specimen,pathology finding / tumor marker / specimen-linked observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueCodeableConcept,CodeableConcept,0..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-data-item-observation,1.0.0-preview.1,http://hl7.org/fhir/us/mcode/StructureDefinition/mcode-genomic-variant,4.0.0,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,FHIR-MCODE-SCOPE,ready-for-human-review
QBC-MAP-D023,D023,(新輔助) PD-L1,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,code,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,pathology/laboratory DiagnosticReport + Observation + Specimen,pathology finding / tumor marker / specimen-linked observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueCodeableConcept,CodeableConcept,0..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-data-item-observation,1.0.0-preview.1,http://hl7.org/fhir/us/mcode/StructureDefinition/mcode-tumor-marker-test,4.0.0,"No fixed LOINC without clone/assay; candidates 83052-1, 83055-4, 83057-0; QBC lacks clone, CPS/TPS and threshold; preserve raw value and method metadata",unmatched,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossy for assay/clone/CPS/TPS because QBC does not carry them; do not infer,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,TERM-PDL1; FHIR-MCODE-SCOPE,ready-for-human-review
QBC-MAP-D024,D024,(術後) 新輔助性治療法之療效,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,code,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,pathology/laboratory DiagnosticReport + Observation + Specimen,pathology finding / tumor marker / specimen-linked observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueCodeableConcept,CodeableConcept,1..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-data-item-observation,1.0.0-preview.1,,,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,none,technically-ready
QBC-MAP-D025,D025,(術後) 最初診斷日期,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,date,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,"pathology, imaging or signed clinical DiagnosticReport",diagnosis or treatment-related clinical fact,derived projection to QBC; plan and QBC are not source-of-truth facts,Condition,Condition.onsetDateTime,dateTime,0..1,https://twcore.mohw.gov.tw/ig/twcore/StructureDefinition/Condition-twcore,1.0.0,http://hl7.org/fhir/us/mcode/StructureDefinition/mcode-primary-cancer-condition,4.0.0,FHIR date/dateTime; YYYYMMDD → YYYY-MM-DD; timezone not inferred,equivalent,parse YYYYMMDD as FHIR date/dateTime; reject invalid calendar dates,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,FHIR-MCODE-SCOPE,ready-for-human-review
QBC-MAP-D026,D026,(術後) 最初診斷院所,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,code,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,"pathology, imaging or signed clinical DiagnosticReport",diagnosis or treatment-related clinical fact,derived projection to QBC; plan and QBC are not source-of-truth facts,Encounter,Encounter.extension[qbc-diagnosis-facility-class],CodeableConcept,0..1,https://twcore.mohw.gov.tw/ig/twcore/StructureDefinition/Encounter-twcore,1.0.0,,,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossy unless actual Organization is also supplied; 1/2 only records same/other facility,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,FHIR-EXTENSIONS,ready-for-human-review
QBC-MAP-D027,D027,(術後) 乳房手術,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,"TM02=1 AND DIAG_TYPE IN (1,2)",0..1,code,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,"pathology, imaging or signed clinical DiagnosticReport",diagnosis or treatment-related clinical fact,derived projection to QBC; plan and QBC are not source-of-truth facts,Procedure,Procedure.code,CodeableConcept,1..1,https://twcore.mohw.gov.tw/ig/twcore/StructureDefinition/Procedure-twcore,1.0.0,,,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,QBC-TM02-SURGERY-POSTOP-REQUIRED,ready-for-human-review
QBC-MAP-D028,D028,(術後) 手術邊緣,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,"TM02=1 AND DIAG_TYPE IN (1,2)",0..1,code,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,pathology/laboratory DiagnosticReport + Observation + Specimen,pathology finding / tumor marker / specimen-linked observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueCodeableConcept,CodeableConcept,1..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-data-item-observation,1.0.0-preview.1,,,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,QBC-TM02-SURGERY-POSTOP-REQUIRED,ready-for-human-review
QBC-MAP-D029,D029,(術後) 腋窩手術,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,"TM02=1 AND DIAG_TYPE IN (1,2)",0..1,code,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,"pathology, imaging or signed clinical DiagnosticReport",diagnosis or treatment-related clinical fact,derived projection to QBC; plan and QBC are not source-of-truth facts,Procedure,Procedure.code,CodeableConcept,1..1,https://twcore.mohw.gov.tw/ig/twcore/StructureDefinition/Procedure-twcore,1.0.0,,,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,QBC-TM02-SURGERY-POSTOP-REQUIRED,ready-for-human-review
QBC-MAP-D030,D030,(術後) 組織學分類,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,"TM02=1 AND DIAG_TYPE IN (1,2)",0..1,code,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,pathology/laboratory DiagnosticReport + Observation + Specimen,pathology finding / tumor marker / specimen-linked observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Condition,Condition.extension[histologyMorphologyBehavior],CodeableConcept,0..1,https://twcore.mohw.gov.tw/ig/twcore/StructureDefinition/Condition-twcore,1.0.0,http://hl7.org/fhir/us/mcode/StructureDefinition/mcode-primary-cancer-condition,4.0.0,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,QBC-TM02-SURGERY-POSTOP-REQUIRED; FHIR-MCODE-SCOPE,ready-for-human-review
QBC-MAP-D031,D031,(術後) 腫瘤組織分級,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,"TM02=1 AND DIAG_TYPE IN (1,2)",0..1,code,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,pathology/laboratory DiagnosticReport + Observation + Specimen,pathology finding / tumor marker / specimen-linked observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueCodeableConcept,CodeableConcept,0..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-data-item-observation,1.0.0-preview.1,,,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,QBC-TM02-SURGERY-POSTOP-REQUIRED,ready-for-human-review
QBC-MAP-D032,D032,(術後) 病理期別T,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,"TM02=1 AND DIAG_TYPE IN (1,2)",0..1,code,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,"imaging, pathology and clinical staging evidence",TNM/stage or metastatic disease fact,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueCodeableConcept,CodeableConcept,0..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-data-item-observation,1.0.0-preview.1,http://hl7.org/fhir/us/mcode/StructureDefinition/mcode-tnm-primary-tumor-category,4.0.0,AJCC TNM/Stage (edition required); QBC coarsens TNM; preserve original code and AJCC edition,narrower,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,potentially lossy toward mCODE/AJCC granularity; retain exact QBC stage and edition,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,QBC-TM02-SURGERY-POSTOP-REQUIRED; GOV-AJCC; FHIR-MCODE-SCOPE,ready-for-human-review
QBC-MAP-D033,D033,(術後) 病理期別N,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,"TM02=1 AND DIAG_TYPE IN (1,2)",0..1,code,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,"imaging, pathology and clinical staging evidence",TNM/stage or metastatic disease fact,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueCodeableConcept,CodeableConcept,0..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-data-item-observation,1.0.0-preview.1,http://hl7.org/fhir/us/mcode/StructureDefinition/mcode-tnm-regional-nodes-category,4.0.0,AJCC TNM/Stage (edition required); QBC coarsens TNM; preserve original code and AJCC edition,narrower,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,potentially lossy toward mCODE/AJCC granularity; retain exact QBC stage and edition,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,QBC-TM02-SURGERY-POSTOP-REQUIRED; GOV-AJCC; FHIR-MCODE-SCOPE,ready-for-human-review
QBC-MAP-D034,D034,(術後) 病理期別M,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,"TM02=1 AND DIAG_TYPE IN (1,2)",0..1,code,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,"imaging, pathology and clinical staging evidence",TNM/stage or metastatic disease fact,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueCodeableConcept,CodeableConcept,0..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-data-item-observation,1.0.0-preview.1,http://hl7.org/fhir/us/mcode/StructureDefinition/mcode-tnm-distant-metastases-category,4.0.0,AJCC TNM/Stage (edition required); QBC coarsens TNM; preserve original code and AJCC edition,narrower,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,potentially lossy toward mCODE/AJCC granularity; retain exact QBC stage and edition,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,QBC-TM02-SURGERY-POSTOP-REQUIRED; GOV-AJCC; FHIR-MCODE-SCOPE,ready-for-human-review
QBC-MAP-D035,D035,(術後) 癌症病理分期：TNM 計算結果,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,"TM02=1 AND DIAG_TYPE IN (1,2)",0..1,string,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,"imaging, pathology and clinical staging evidence",TNM/stage or metastatic disease fact,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueCodeableConcept,CodeableConcept,0..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-data-item-observation,1.0.0-preview.1,http://hl7.org/fhir/us/mcode/StructureDefinition/mcode-tnm-stage-group,4.0.0,AJCC TNM/Stage (edition required); QBC coarsens TNM; preserve original code and AJCC edition,narrower,copy after Big5/max-length validation; preserve exact source in Provenance,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,potentially lossy toward mCODE/AJCC granularity; retain exact QBC stage and edition,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,QBC-TM02-SURGERY-POSTOP-REQUIRED; GOV-AJCC; FHIR-MCODE-SCOPE,ready-for-human-review
QBC-MAP-D036,D036,(術後) 遠端轉移部位,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,TM02=1 AND D035=StageⅣ,0..1,code-list (comma-separated repeating codes),癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,"imaging, pathology and clinical staging evidence",TNM/stage or metastatic disease fact,derived projection to QBC; plan and QBC are not source-of-truth facts,Condition,Condition.bodySite,CodeableConcept,0..*,https://twcore.mohw.gov.tw/ig/twcore/StructureDefinition/Condition-twcore,1.0.0,http://hl7.org/fhir/us/mcode/StructureDefinition/mcode-secondary-cancer-condition,4.0.0,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,split on ASCII comma; trim; de-duplicate; preserve source order,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,QBC-TM02-SURGERY-POSTOP-REQUIRED; FHIR-MCODE-SCOPE,ready-for-human-review
QBC-MAP-D037,D037,(術後) 遠端轉移部位：其他,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,TM02=1 AND D036 CONTAINS 12,0..1,string,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,"imaging, pathology and clinical staging evidence",TNM/stage or metastatic disease fact,derived projection to QBC; plan and QBC are not source-of-truth facts,Condition,Condition.bodySite.text,string,0..1,https://twcore.mohw.gov.tw/ig/twcore/StructureDefinition/Condition-twcore,1.0.0,http://hl7.org/fhir/us/mcode/StructureDefinition/mcode-secondary-cancer-condition,4.0.0,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,copy after Big5/max-length validation; preserve exact source in Provenance,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,QBC-TM02-SURGERY-POSTOP-REQUIRED; FHIR-MCODE-SCOPE,ready-for-human-review
