fact_id,acquisition_batch,batch_rank,work_package_id,proposed_primary_owner_role,required_co_reviewer_roles,priority,fact_name,indicator_family,affected_measure_ids,affected_criterion_ids,fhir_target,acquisition_question,required_source_artifacts,acceptance_evidence,assignment_status,confirmed_owner_name,confirmed_owner_organization_title,assignment_date,assignment_evidence_uri_path,signed_assignment_sha256,notes
CM-TASK-006,B1-cohort-rate,1,WP-07-CASE-MANAGEMENT,case-management / quality-program source owner,indicator clinical owner; quality-committee owner; data-governance reviewer,P0,可治癒性治療細目,quarterly,bc-qr-03,X3-TX-EVENT,Task.businessStatus with reason,Identify the authoritative system/artifact/element and version for 可治癒性治療細目; resolve: in curative treatment / died during treatment / transferred during treatment / physician advised stopping / not advisable / active surveillance. The event is derivable from treatment resources; the physician's reasoning is not,case-management form and database schema; complete code lists; original and adjusted result model; decision reason approver and audit timestamps; contact transfer treatment-state and closure semantics; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-TASK-007,B1-cohort-rate,1,WP-07-CASE-MANAGEMENT,case-management / quality-program source owner,indicator clinical owner; quality-committee owner; data-governance reviewer,P0,完成治療率 + 完成原因 + 未完成治療原因,quarterly,bc-qr-03 bc-qr-05,D5-QUIT X3-INCOMPLETE,Task.output with reason,Identify the authoritative system/artifact/element and version for 完成治療率 + 完成原因 + 未完成治療原因; resolve: completed here / completed then died / completed then transferred / incomplete (refused part of treatment or interrupted). Completion is derivable from treatment resource status; refusal and interruption are not,case-management form and database schema; complete code lists; original and adjusted result model; decision reason approver and audit timestamps; contact transfer treatment-state and closure semantics; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-TASK-010,B1-cohort-rate,1,WP-07-CASE-MANAGEMENT,case-management / quality-program source owner,indicator clinical owner; quality-committee owner; data-governance reviewer,P0,分母排除 / 分子加回 / 分子排除,quality,bc-qi-01 bc-qi-05,N5-ADH-RULE X1-TEAM X5-TEAM,MeasureReport extension or Task.output with reason,Identify the authoritative system/artifact/element and version for 分母排除 / 分子加回 / 分子排除; resolve: one entry per case per measure with a stated reason. Never derivable from clinical data. Must survive into the audit output so a reviewer can see what was overridden and why,case-management form and database schema; complete code lists; original and adjusted result model; decision reason approver and audit timestamps; contact transfer treatment-state and closure semantics; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-TASK-011,B4-support,4,WP-07-CASE-MANAGEMENT,case-management / quality-program source owner,indicator clinical owner; quality-committee owner; data-governance reviewer,P2,團隊自訂閾值,quality,,,Measure extension or MeasureReport extension,Identify the authoritative system/artifact/element and version for 團隊自訂閾值; resolve: the threshold is set annually by the team and is not part of the clinical model; keep the year it was set,case-management form and database schema; complete code lists; original and adjusted result model; decision reason approver and audit timestamps; contact transfer treatment-state and closure semantics; source version,approved source/output contract; provenance or report-reconciliation evidence,unassigned,,,,,,
CM-TASK-012,B4-support,4,WP-07-CASE-MANAGEMENT,case-management / quality-program source owner,indicator clinical owner; quality-committee owner; data-governance reviewer,P2,不符合個案分析(VS、討論過程、結論),quality,,,MeasureReport extension or Composition,"Identify the authoritative system/artifact/element and version for 不符合個案分析(VS、討論過程、結論); resolve: narrative review of every case that missed the numerator. Required by the committee report, not by the measure calculation",case-management form and database schema; complete code lists; original and adjusted result model; decision reason approver and audit timestamps; contact transfer treatment-state and closure semantics; source version,approved source/output contract; provenance or report-reconciliation evidence,unassigned,,,,,,
CM-TASK-013,B3-stratifiers,3,WP-07-CASE-MANAGEMENT,case-management / quality-program source owner,indicator clinical owner; quality-committee owner; data-governance reviewer,P1,分期未定個案的期別判定,quarterly,bc-qr-16,S16-STAGE,MeasureReport extension or Task.output with reason,Identify the authoritative system/artifact/element and version for 分期未定個案的期別判定; resolve: a case whose stage column is empty but whose narrative states the stage. Each adjudication carries the resolved stage and the reason. This is the single largest manual step today and is expected to approach zero once the stage observation and its data-absent reason exist,case-management form and database schema; complete code lists; original and adjusted result model; decision reason approver and audit timestamps; contact transfer treatment-state and closure semantics; source version,approved source contract; source-to-FHIR case trace; bucket-level golden-cohort distribution comparison,unassigned,,,,,,
CM-TASK-014,B1-cohort-rate,1,WP-07-CASE-MANAGEMENT,case-management / quality-program source owner,indicator clinical owner; quality-committee owner; data-governance reviewer,P0,拒絕及中斷程度(全/部分)與重返治療認定,quarterly,bc-qr-05,D5-QUIT N5-RETURN,MeasureReport extension or Task.output with reason,"Identify the authoritative system/artifact/element and version for 拒絕及中斷程度(全/部分)與重返治療認定; resolve: whether the patient refused all or part of treatment, and whether a later treatment counts as a return. Feeds the return-to-treatment rate and the case list printed on the report",case-management form and database schema; complete code lists; original and adjusted result model; decision reason approver and audit timestamps; contact transfer treatment-state and closure semantics; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-TASK-015,B1-cohort-rate,1,WP-07-CASE-MANAGEMENT,case-management / quality-program source owner,indicator clinical owner; quality-committee owner; data-governance reviewer,P0,失聯認定,quarterly,bc-qr-04,N4-LOST,MeasureReport extension or Task.output with reason,"Identify the authoritative system/artifact/element and version for 失聯認定; resolve: loss to follow-up is judged against the prior-year cohort, which a single-period export does not contain. Until that cohort is available the figure is entered by hand and must not be reported as calculated",case-management form and database schema; complete code lists; original and adjusted result model; decision reason approver and audit timestamps; contact transfer treatment-state and closure semantics; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-TASK-016,B4-support,4,WP-07-CASE-MANAGEMENT,case-management / quality-program source owner,indicator clinical owner; quality-committee owner; data-governance reviewer,P2,其它分期明細附註,quarterly,,,MeasureReport extension,"Identify the authoritative system/artifact/element and version for 其它分期明細附註; resolve: free-text breakdown of the 其它 stage bucket printed under the stage table (for example 診斷中轉院*16, 外院資料不足*1). Derived from the stage stratifier but rendered as narrative on the worksheet",case-management form and database schema; complete code lists; original and adjusted result model; decision reason approver and audit timestamps; contact transfer treatment-state and closure semantics; source version,approved source/output contract; provenance or report-reconciliation evidence,unassigned,,,,,,
CM-TASK-020,B1-cohort-rate,1,WP-08-REPORTING-PROVENANCE,reporting-platform / data-engineering owner,quality-program owner; source-system owners; security/data-governance reviewer,P0,季別與報告期間,both,bc-qi-00 bc-qr-00,IP-CASELOAD IP-QUARTER,MeasureReport.period,Identify the authoritative system/artifact/element and version for 季別與報告期間; resolve: the governed calendar quarter and cutoff policy used as the Measurement Period by both quality and quarterly Measures,reporting-period and benchmark specification; extraction and job configuration; raw-file and run hashes; execution timestamp timezone and software version; Provenance retention and access policy,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-TASK-021,B4-support,4,WP-08-REPORTING-PROVENANCE,reporting-platform / data-engineering owner,quality-program owner; source-system owners; security/data-governance reviewer,P2,全國/醫學中心/區域醫院平均值,quality,,,MeasureReport extension,Identify the authoritative system/artifact/element and version for 全國/醫學中心/區域醫院平均值; resolve: published comparison values carried into the committee report; sourced externally and must keep their publication year,reporting-period and benchmark specification; extraction and job configuration; raw-file and run hashes; execution timestamp timezone and software version; Provenance retention and access policy,approved source/output contract; provenance or report-reconciliation evidence,unassigned,,,,,,
CM-TASK-022,B2-release-provenance,2,WP-08-REPORTING-PROVENANCE,reporting-platform / data-engineering owner,quality-program owner; source-system owners; security/data-governance reviewer,P0,原始檔 SHA-256 與執行時間,quality,,,Provenance,Identify the authoritative system/artifact/element and version for 原始檔 SHA-256 與執行時間; resolve: which version of the source data produced a given quarterly result; required because the case manager corrects the source file and the report is rerun,reporting-period and benchmark specification; extraction and job configuration; raw-file and run hashes; execution timestamp timezone and software version; Provenance retention and access policy,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-TASK-023,B1-cohort-rate,1,WP-07-CASE-MANAGEMENT,case-management / quality-program source owner,indicator clinical owner; quality-committee owner; data-governance reviewer,P0,個管師歸屬,quarterly,bc-qr-00,IP-CASELOAD,MeasureReport.reporter,"Identify the authoritative system/artifact/element and version for 個管師歸屬; resolve: the report is filed per case manager and each worksheet column is one caseload; a facility figure is the sum of the reports, never a separate calculation",case-management form and database schema; complete code lists; original and adjusted result model; decision reason approver and audit timestamps; contact transfer treatment-state and closure semantics; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
