criterion_id,measure_id,indicator_family,population_type,variant,normative_rule,cql_evidence,cql_alignment,legacy_python_status,source_approval,workflow_contract,difference_classes,known_difference,publication_disposition,required_resolution
N5-RETURN,bc-qr-05,quarterly,numerator,both,期間內有重返治療個案數,Interruption Date|Numerator QR5,candidate-not-approved,not-implemented,0/2-facts-approved,dedicated-task-profile-present-pending-approval,candidate-not-approved; legacy-not-implemented; source-proxy-replacement,The interruption-date and subsequent-treatment expression is a candidate rule; the source does not currently record an approved interruption date. | Current source/report proxy: none; adjudicated by the case manager,blocked-for-production-publication,"Approve the event semantics and compare the candidate against a case-manager truth set. | Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
S10-IDENTITY,bc-qr-10,quarterly,stratifier,both,收案身份(新診斷/舊案/延遲收案-當年度/延遲收案-非當年度/首復發可治癒/首復發不可治癒),Case Entry Category,aligned-to-current-draft,implemented,0/1-facts-approved,dedicated-task-profile-present-pending-approval,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
S11-MONTH,bc-qr-11,quarterly,stratifier,both,收案月份,Case Entry Month,aligned-to-current-draft,implemented,0/1-facts-approved,not-applicable,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
S12-DYNAMIC,bc-qr-12,quarterly,stratifier,both,收案狀態(診斷期/治療期/臨床試驗/追蹤期/緩和醫療/拒絕與中斷/結案),Case Status Reported,aligned-to-current-draft,implemented,0/2-facts-approved,dedicated-task-profile-present-pending-approval,source-proxy-replacement,Current source/report proxy: a case still being staged is recorded as 治療期 by the system and is moved to 診斷期 by hand,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
S13-CLOSURE,bc-qr-13,quarterly,stratifier,both,結案原因(死亡/轉院/拒絕返診/病危AAD),Closure Reason,aligned-to-current-draft,implemented,0/3-facts-approved,dedicated-task-profile-present-pending-approval,source-proxy-replacement,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
S14-SEX,bc-qr-14,quarterly,stratifier,both,性別,Administrative Sex,aligned-to-current-draft,implemented,0/1-facts-approved,not-applicable,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
S14-AGEBAND,bc-qr-14,quarterly,stratifier,both,年齡層(<10 / 10-19 ... 80-89 / >=90),Age Band At Case Entry,aligned-to-current-draft,implemented,0/2-facts-approved,not-applicable,source-proxy-replacement,Current source/report proxy: the export carries a precomputed band code; the report trusts it rather than the birth date,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
S15-CLASS,bc-qr-15,quarterly,stratifier,both,Class 分類(0/1/2/診斷中),Registry Case Class Reported,aligned-to-current-draft,implemented,0/2-facts-approved,dedicated-task-profile-present-pending-approval,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
S15-CLASS3,bc-qr-15,quarterly,stratifier,both,Class 3 個案數(表外附註),Is Registry Class 3,aligned-to-current-draft,implemented,0/1-facts-approved,dedicated-task-profile-present-pending-approval,source-proxy-replacement,Current source/report proxy: class 3 is not recorded in the class column at all; it is written into the subtype free-text field and recovered by string matching,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
S16-STAGE,bc-qr-16,quarterly,stratifier,both,分期(Stage 0/I/II/III/IV/診斷中/其它),Reported Stage Group,aligned-to-current-draft,implemented,0/6-facts-approved,dedicated-task-profile-present-pending-approval,source-proxy-replacement,Current source/report proxy: stage is a single free-text column; 24 of 201 cases resolve only after a case manager reads the clinical narrative,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
S17-HISTOLOGY,bc-qr-17,quarterly,stratifier,both,組織類型(IC/ILC/IC+ILC/IC with mucin/IC & Paget/IC with neuroendocrine/metaplastic/adenoid cystic/DCIS/phyllodes),Histology Group,definition-contradiction,implemented,0/2-facts-approved,not-applicable,definition-contradiction; source-proxy-replacement,CQL implements ten histology groups while the source documentation says eleven; the unidentified group must not be invented. | Current source/report proxy: free-text histology with 27 spellings normalised by an ordered regex table,blocked-for-production-publication,"Pathology and case-management owners must identify and approve the exact group set and terminology. | Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
S18-SUBTYPE,bc-qr-18,quarterly,stratifier,both,HR/HER2 分型(HR+HER2- / HR+HER2+ / HR-HER2+ / HR-HER2- / 無法判斷),HR HER2 Subtype,aligned-to-current-draft,implemented,0/6-facts-approved,not-applicable,source-proxy-replacement,Current source/report proxy: a hand-typed letter A/B1/B2/H/T; + and - in the same column mean the ER status of an in-situ case and must be excluded from the invasive denominator,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
