tag,label,section,required_marker,source_format,source_rule,always_required,required_when,data_type,max_length,minimum,maximum,allowed_values,multi_select,validation_checks,rule_ids,technical_status,clinical_review_status,review_notes
D063,(復發) 癌症臨床分期：TNM 計算結果,復發／de novo mBC,△,X(20),"預設為空白，由系統自動計算「D060」、「D061」、「D062」三欄英文代號值合併結果，若有對應下列的Stage，則由系統代入其對應的Stage，若無任何對應的Stage，則需自行填寫，不能空白。 e.g.「D060」填入[T4]，「D061」填入[N0]，「D062」填入[M0]，合併計算結果為［T4N0M0］，其所對應的Stage為「StageⅢB」，則系統將此欄位值自動代入［StageⅢB］ e.g.「D060」填入[T4]，「D061」填入[Nx]，「D062」填入[M0]，合併計算結果為［T4NxM0］，沒有對應的Stage則需由使用者自行填入值StageⅠ~Ⅳ。 ==================== Stage ================= Stage 0： ['TisN0M0'] StageⅠA：['T1N0M0'] StageⅠB：['T0N1miM0', 'T1N1miM0'] StageⅡA：['T2N0M0', 'T0N1M0', 'T1N1M0'] StageⅡB：['T3N0M0', 'T2N1M0'] StageⅢA：['T3N1M0', 'T3N2M0', 'T0N2M0', 'T1N2M0', 'T2N2M0'] StageⅢB：['T4N0M0', 'T4N1M0', 'T4N2M0'] StageⅢC：['anyTN3M0'] StageⅣ：['anyTanyNM1'] Stage X：['TxNxMx', 'TxNxM0']",False,DIAG_TYPE=3,string,20,,,,False,Big5 encodability | max length 20 | conditional requiredness | cross-field business rules,"QBC-DIAGTYPE3-RECURRENCE-REQUIRED,QBC-D063-TNM",implemented,pending,
D064,(復發) 病理期別 T,復發／de novo mBC,△,X(5),T0：No evidence of primary tumor Tis：(DCIS)*Ductal carcinoma in situ T1：腫瘤小於等於2公分 T2：腫瘤大於2公分，小於等於5公分 T3：腫瘤大於5公分 T4：腫瘤已侵犯至胸壁或是皮膚(潰瘍或結節)，發炎性乳癌 Tx：未知,False,DIAG_TYPE=3,code,5,,,"T0,Tis,T1,T2,T3,T4,Tx",False,Big5 encodability | max length 5 | allowed value set | conditional requiredness | cross-field business rules,QBC-DIAGTYPE3-RECURRENCE-REQUIRED,implemented,pending,
D065,(復發) 病理期別 N,復發／de novo mBC,△,X(5),N0：沒有淋巴結轉移 N1mi：微小轉移(0.2-2mm) N1：同側腋下淋巴結1~3顆有癌細胞轉移 N2：同側腋下淋巴結4~9顆有癌細胞轉移 N3：同側腋下淋巴結大於等於10顆有癌細胞轉移 Nx：未知,False,DIAG_TYPE=3,code,5,,,"N0,N1mi,N1,N2,N3,Nx",False,Big5 encodability | max length 5 | allowed value set | conditional requiredness | cross-field business rules,QBC-DIAGTYPE3-RECURRENCE-REQUIRED,implemented,pending,
D066,(復發) 病理期別 M,復發／de novo mBC,△,X(5),M0：遠端器官沒有癌細胞轉移 M1：遠端器官有癌細胞轉移，例如腦、肝、肺等 Mx：未知,False,DIAG_TYPE=3,code,5,,,"M0,M1,Mx",False,Big5 encodability | max length 5 | allowed value set | conditional requiredness | cross-field business rules,QBC-DIAGTYPE3-RECURRENCE-REQUIRED,implemented,pending,
D067,(復發) 癌症病理分期：TNM 計算結果,復發／de novo mBC,△,X(20),"預設為空白，由系統自動計算「D064」、「D065」、「D066」三欄英文代號值合併計算結果，若有對應下列的Stage，則由系統代入其對應的Stage，若無任何對應的Stage，則需自行填寫，不能空白。 e.g.「D0064」填入[T4]，「D0065」填入[N0]，「D0066」填入[M0]，合併計算結果為［T4N0M0］，其所對應的Stage為「StageⅢB」，則系統將此欄位值自動代入［StageⅢB］ e.g.「D0064」填入[T4]，「D0065」填入[Nx]，「D0066」填入[M0]，合併計算結果為［T4NxM0］，沒有對應的Stage則需由使用者自行填入值StageⅠ~Ⅳ。 ==================== Stage ================= Stage 0：['TisN0M0'] StageⅠA：['T1N0M0'] StageⅠB：['T0N1miM0', 'T1N1miM0'] StageⅡA：['T2N0M0', 'T0N1M0', 'T1N1M0'] StageⅡB：['T3N0M0', 'T2N1M0'] StageⅢA：['T3N1M0', 'T3N2M0', 'T0N2M0', 'T1N2M0', 'T2N2M0'] StageⅢB：['T4N0M0', 'T4N1M0', 'T4N2M0'] StageⅢC：['anyTN3M0'] StageⅣ：['anyTanyNM1'] Stage X：['TxNxMx', 'TxNxM0']",False,DIAG_TYPE=3,string,20,,,,False,Big5 encodability | max length 20 | conditional requiredness | cross-field business rules,"QBC-DIAGTYPE3-RECURRENCE-REQUIRED,QBC-D067-TNM",implemented,pending,
D068,(復發) 復發位置,復發／de novo mBC,△,X(30),"※ 填入代碼，可複選 ※ 複選以逗點相隔 e.g. 1,5,10,11,12 (以半形英文逗號「,」連接數字) 1：乳房(局部復發) 2：遠端淋巴 3：皮膚 4：骨 5：肝 6：肺 7：腦 8：骨髓 9：胸膜 10：腹膜 11：腎上腺 12：對側腋下淋巴 13：其他",False,DIAG_TYPE=3,code-list,30,,,"1,2,3,4,5,6,7,8,9,10,11,12,13",True,Big5 encodability | max length 30 | code-list format | allowed value set | conditional requiredness | cross-field business rules,"QBC-DIAGTYPE3-RECURRENCE-REQUIRED,QBC-D068-RECURRENCE",implemented,pending,
D069,(復發) 復發位置：其他,復發／de novo mBC,△,X(200),※ (復發) 復發位置「D068」選項包含「13：其他」，才需填寫 內容自訂，文字格式,False,DIAG_TYPE=3 AND D068 CONTAINS 13,string,200,,,,False,Big5 encodability | max length 200 | conditional requiredness | cross-field business rules,QBC-D069-OTHER,implemented,pending,
D070,(復發) 哨兵淋巴結,復發／de novo mBC,△,X(1),X：未檢驗 0：陰性 1：陽性,False,DIAG_TYPE=3,code,1,,,"X,0,1",False,Big5 encodability | max length 1 | allowed value set | conditional requiredness | cross-field business rules,QBC-DIAGTYPE3-RECURRENCE-REQUIRED,implemented,pending,
D071,(復發) 哨兵淋巴結：陽性顆數,復發／de novo mBC,△,X(2),※「D070」為「1：陽性」時，必填。 填入範圍值：1-99,False,DIAG_TYPE=3 AND D070=1,integer,2,1,99,,False,Big5 encodability | max length 2 | integer format | numeric range | conditional requiredness | cross-field business rules,QBC-D071-SENTINEL,implemented,pending,
D072,(復發) 哨兵淋巴結：哨兵淋巴結顆數,復發／de novo mBC,△,X(2),※「D070」為「0：陰性」或「1：陽性」時，必填。 填入範圍值：1-99,False,"DIAG_TYPE=3 AND D070 IN (0,1)",integer,2,1,99,,False,Big5 encodability | max length 2 | integer format | numeric range | conditional requiredness | cross-field business rules,QBC-D072-SENTINEL,implemented,pending,
D073,(復發) 腋下淋巴結,復發／de novo mBC,△,X(1),X：未檢驗 0：陰性 1：陽性,False,DIAG_TYPE=3,code,1,,,"X,0,1",False,Big5 encodability | max length 1 | allowed value set | conditional requiredness | cross-field business rules,QBC-DIAGTYPE3-RECURRENCE-REQUIRED,implemented,pending,
D074,(復發) 腋下淋巴結：陽性顆數,復發／de novo mBC,△,X(2),※「D073」為「1：陽性」時，必填。 填入範圍值：1-99,False,DIAG_TYPE=3 AND D073=1,integer,2,1,99,,False,Big5 encodability | max length 2 | integer format | numeric range | conditional requiredness | cross-field business rules,QBC-D074-AXILLARY,implemented,pending,
D075,(復發) 腋下淋巴結：腋下淋巴結顆數,復發／de novo mBC,△,X(2),※ 「D073」為「0：陰性」或「1：陽性」時，必填。 填入範圍值：1-99,False,"DIAG_TYPE=3 AND D073 IN (0,1)",integer,2,1,99,,False,Big5 encodability | max length 2 | integer format | numeric range | conditional requiredness | cross-field business rules,QBC-D075-AXILLARY,implemented,pending,
D076,(復發) ER,復發／de novo mBC,△,X(1),X：未檢驗 0：陰性 1：陽性,False,DIAG_TYPE=3,code,1,,,"X,0,1",False,Big5 encodability | max length 1 | allowed value set | conditional requiredness | cross-field business rules,QBC-DIAGTYPE3-RECURRENCE-REQUIRED,implemented,pending,
D077,(復發) ER 數值,復發／de novo mBC,△,X(3),※「D076」為「1：陽性」時，才需填寫。 填入範圍值：01-100 整數百分比(%),False,DIAG_TYPE=3 AND D076=1,integer,3,1,100,,False,Big5 encodability | max length 3 | integer format | numeric range | conditional requiredness | cross-field business rules,QBC-D077-ER,implemented,pending,
D078,(復發) PR,復發／de novo mBC,△,X(1),X：未檢驗 0：陰性 1：陽性,False,DIAG_TYPE=3,code,1,,,"X,0,1",False,Big5 encodability | max length 1 | allowed value set | conditional requiredness | cross-field business rules,QBC-DIAGTYPE3-RECURRENCE-REQUIRED,implemented,pending,
D079,(復發) PR 數值,復發／de novo mBC,△,X(3),※「D078」為「1：陽性」時，才需填寫。 填入範圍值：01-100 整數百分比(%),False,DIAG_TYPE=3 AND D078=1,integer,3,1,100,,False,Big5 encodability | max length 3 | integer format | numeric range | conditional requiredness | cross-field business rules,QBC-D079-PR,implemented,pending,
D080,(復發) HER2,復發／de novo mBC,△,X(1),X：未檢驗 0：IHC 0 (negative or score 0) 1：IHC 1+(negative or score 1+) 2：IHC 2+(equivocal or score 2+) 3：IHC 3+(positive or score 3+),False,DIAG_TYPE=3,code,1,,,"X,0,1,2,3",False,Big5 encodability | max length 1 | allowed value set | conditional requiredness | cross-field business rules,QBC-DIAGTYPE3-RECURRENCE-REQUIRED,implemented,pending,
D081,(復發) HER2_FISH,復發／de novo mBC,,X(1),※ 「D080」為「2：IHC 2+(equivocal or score 2+)」時，才需填寫。 0：negative 1：positive,False,DIAG_TYPE=3 AND D080=2,code,1,,,"0,1",False,Big5 encodability | max length 1 | allowed value set | conditional requiredness | cross-field business rules,QBC-D081-HER2,implemented,pending,
D082,(復發) Ki-67,復發／de novo mBC,△,X(1),0：未檢驗 1：有檢驗,False,DIAG_TYPE=3,code,1,,,"0,1",False,Big5 encodability | max length 1 | allowed value set | conditional requiredness | cross-field business rules,QBC-DIAGTYPE3-RECURRENCE-REQUIRED,implemented,pending,
D083,(復發) Ki-67數值,復發／de novo mBC,△,X(3),填入範圍值：01-100 整數百分比(%),False,DIAG_TYPE=3,integer,3,1,100,,False,Big5 encodability | max length 3 | integer format | numeric range | conditional requiredness | cross-field business rules,QBC-DIAGTYPE3-RECURRENCE-REQUIRED,implemented,pending,
D084,(復發) BRCA 1/2,復發／de novo mBC,△,X(1),X：未檢驗 0：無突變 1：有突變,False,DIAG_TYPE=3,code,1,,,"X,0,1",False,Big5 encodability | max length 1 | allowed value set | conditional requiredness | cross-field business rules,QBC-DIAGTYPE3-RECURRENCE-REQUIRED,implemented,pending,
D085,(復發) PD-L1,復發／de novo mBC,,X(1),X：未檢驗 0：陰性 1：陽性,False,DIAG_TYPE=3,code,1,,,"X,0,1",False,Big5 encodability | max length 1 | allowed value set | conditional requiredness | cross-field business rules,QBC-DIAGTYPE3-RECURRENCE-REQUIRED,implemented,pending,
TM01,治療順序,治療療程,＊,X(2),按醫事機構於畫面所新增之治療項目，從1開始自行排序 ※當收案類別「DIAG_TYPE」為[1:新診斷個案-直接治癒性手術]時，必填「TM01」為[1]，「TM02」為［1：治癒性手術］,False,,integer,2,1,99,,False,Big5 encodability | max length 2 | integer format | numeric range | cross-field business rules,"QBC-TM01-DIRECT-SURGERY,QBC-TM01-UNIQUE,QBC-TM01-CONTIGUOUS",implemented,pending,
TM02,治療方式,治療療程,＊,X(1),填入下列代碼1~7 ※當收案類別「DIAG_TYPE」為[1:新診斷個案-直接治癒性手術]時，必填「TM01」為[1]，「TM02」為［1：治癒性手術］ 1：治癒性手術 (新輔助性治療、直接治癒性手術) / 復發手術 (首次復發) 治癒性手術 (新輔助性治療、直接治癒性手術)：需再填「TM03」、「TM09」 復發手術 (首次復發)：需再填「TM03」、「TM04」、「TM09」 2：化學治療：需再填「TM03」、「TM09」、「TM10」 3：放射治療：需再填「TM03」、「TM07」、(TM08)、「TM09」、「TM10」 4：免疫治療：需再填「TM03」、「TM05」、(TM06)、「TM09」、「TM10」 5：標靶治療：需再填「TM03」、「TM05」、(TM06)、「TM09」、「TM10」 6：內分泌治療：需再填「TM03」、「TM09」 7：其他治療：需再填「TM03」、「TM05」、「TM06」、「TM09」、「TM10」,False,,code,1,,,"1,2,3,4,5,6,7",False,Big5 encodability | max length 1 | allowed value set | cross-field business rules,QBC-TM02-DEPENDENCIES,implemented,pending,
TM03,治療情況,治療療程,＊,X(1),1：本院治療 2：他院治療,False,,code,1,,,"1,2",False,Big5 encodability | max length 1 | allowed value set,,implemented,pending,
TM04,手術項目,治療療程,△,X(1),若「DIAG_TYPE」為[3:首次復發個案]且「TM02」為「1：復發手術」時，必填 1：乳癌復發處手術 2：腋下復發處手術 3：遠端轉移處手術,False,,code,1,,,"1,2,3",False,Big5 encodability | max length 1 | allowed value set | cross-field business rules,QBC-TM04-RECURRENCE,implemented,pending,
TM05,藥物,治療療程,△,X(50),"填入代碼A1~A2、B1~B12、C1，可複選並以逗點相隔。 ※「TM02」包含[4：免疫治療]、[5：標靶治療]、[7：其他治療]才需填寫 e.g.A1,B3,B7,C1 (以半形英文逗號「,」連接數字) [4：免疫治療] A1：Pembrolizumab A2：其他 [5：標靶治療] B1：Abemaciclib B2：Olaparib B3：Palbociclib B4：Pertuzumab B5：Pertuzumab+Trastuzumab B6：Ribocilcib B7：Sacituzumab govitecan B8：Talazoparib B9：Trastuzumab B10：Trastuzumab deruxtecan B11：Trastuzumab emtansine B12：其他 [7：其他治療] C1：其他",False,,code-list,50,,,"A1,A2,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1",True,Big5 encodability | max length 50 | code-list format | allowed value set | cross-field business rules,"QBC-TM05-TREATMENT,QBC-TM05-TREATMENT-TYPE",implemented,pending,
TM06,藥物 (其他),治療療程,△,X(250),「TM05」包含 [A2：其他]、[B12：其他]、[C1：其他]任一選項時，需填寫此欄位。,False,,string,250,,,,False,Big5 encodability | max length 250 | cross-field business rules,QBC-TM06-OTHER,implemented,pending,
TM07,部位,治療療程,△,X(20),"※「TM02」為[3：放射治療] 才需填寫 填入代碼A1~A5，可複選並以逗點相隔。 e.g.A1,A3,A5(以半形英文逗號「,」連接數字) [3：放射治療] A1：全乳房 A2：腋下淋巴結 A3：鎖骨上淋巴結 A4：胸壁 A5：其他",False,,code-list,20,,,"A1,A2,A3,A4,A5",True,Big5 encodability | max length 20 | code-list format | allowed value set | cross-field business rules,QBC-TM07-RADIOTHERAPY,implemented,pending,
TM08,部位 (其他),治療療程,△,X(250),「TM07」為 [A5：其他]時，需填寫此欄位。,False,,string,250,,,,False,Big5 encodability | max length 250 | cross-field business rules,QBC-TM08-OTHER,implemented,pending,
TM09,治療項目開始日期,治療療程,△,X(8),固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,False,,date,8,,,,False,Big5 encodability | max length 8 | date format,,implemented,pending,
TM10,治療項目結束日期,治療療程,△,X(8),※ 不可早於「TM08」的日期 固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,False,,date,8,,,,False,Big5 encodability | max length 8 | date format | cross-field business rules,QBC-TM10-DATE-ORDER,implemented,pending,
T01,追蹤年度,年度追蹤,＊,X(8),※ 一年追蹤(填寫)一次 固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,False,,date,8,,,,False,Big5 encodability | max length 8 | date format,,implemented,pending,
T02,治療狀況,年度追蹤,△,X(1),1.已完成治療(必填追蹤狀況) 2.繼續在本院治療(必填追蹤狀況) 3.轉他院治療(必填轉出日期) 4.病人中斷治療(必填追蹤狀況) 5.於治療中死亡(必填死亡日期) 6.於治療中復發(必填結案日期，且應新增一筆首次復發個案) X.不詳,False,,code,1,,,"1,2,3,4,5,6,X",False,Big5 encodability | max length 1 | allowed value set | cross-field business rules,"QBC-T02-DEPENDENCIES,QBC-TRACE-RECURRENCE-CASE",implemented,pending,
T03,追蹤狀況,年度追蹤,△,X(1),1.在本院追蹤且定期檢查，無復發/轉移 2.轉他院追蹤(必填轉出日期) 3.個案中斷追蹤(必填結案日期) 4.於追蹤中死亡(必填死亡日期) 5.於追蹤中復發(必填結案日期，且應新增一筆首次復發個案) X.不詳,False,,code,1,,,"1,2,3,4,5,X",False,Big5 encodability | max length 1 | allowed value set | cross-field business rules,"QBC-T03-DEPENDENCIES,QBC-TRACE-RECURRENCE-CASE",implemented,pending,
T04,轉出日期,年度追蹤,△,X(8),※「T02」為 [3.轉他院治療(必填轉出日期)]或 「T03」為[2.轉他院追蹤(必填轉出日期)]時必填。 固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,False,,date,8,,,,False,Big5 encodability | max length 8 | date format | cross-field business rules,QBC-T04-TRANSFER,implemented,pending,
T05,結案日期,年度追蹤,△,X(8),※「T02」為[6.於治療中復發]或 「T03」為[3.個案中斷追蹤]、[5.於追蹤中復發]時必填。 固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,False,,date,8,,,,False,Big5 encodability | max length 8 | date format | cross-field business rules,QBC-T05-CLOSE,implemented,pending,
T06,死亡日期,年度追蹤,△,X(8),※死亡視同結案。 「T02」為[5.於治療中死亡]或 「T03」為[4.於追蹤中死亡]時必填。 固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,False,,date,8,,,,False,Big5 encodability | max length 8 | date format | cross-field business rules,QBC-T06-DEATH,implemented,pending,
